Palas,Precio,Marca,Color,Producto,Balance,Nucleo,Cara,Dureza,Nivel de Juego,Acabado,Forma,Superficie,Tipo de Juego,Jugador
SOFTEE TRIONIC 2024,"151,95 €",softee,naranja,palas,medio,soft eva,No data,media,principiante / intermedio,No data,No data,rugosa,polivalente,hombre
ROYAL PADEL R30 GOLDEN WHITE PREMIER MENDOZA,"288,95 €",royal padel,No data,palas,alto,soft eva,fibra de vidrio,blanda,profesional,No data,diamante,lisa,polivalente,hombre
ROYAL PADEL RP 779 WHIP EVA 2024,"181,95 €",royal padel,No data,palas,alto,hard eva,fibra de vidrio,dura,avanzado / competición,No data,redonda,rugosa,potencia,hombre
SOFTEE WINNER STAR PRO,"114,95 €",softee,"negro, plateado",palas,"medio, bajo",soft eva,No data,No data,avanzado / competición,No data,redonda,lisa,No data,"hombre, mujer"
SOFTEE SPEED 3.0 WOMAN POWER 2024,"170,95 €",softee,negro,No data,medio,soft eva,No data,blanda,avanzado / competición,No data,lágrima,rugosa,potencia,mujer
ROYAL PADEL WHIP HYBRID 2024,"181,95 €",royal padel,No data,palas,medio,"eva, polietileno",fibra de vidrio,media,avanzado / competición,mate,redonda,rugosa,polivalente,hombre
HEAD EXTREME JUNIOR 2023,"68,95 €",head,verde,palas,medio,foam,fibra de vidrio,media,principiante / intermedio,No data,lágrima,lisa,polivalente,junior
ENEBE RS 9.1 BLUE 2024,"87,95 €",enebe,azul,palas,medio,No data,fibra de vidrio,media,principiante / intermedio,mate,No data,lisa,polivalente,hombre
SIUX FENIX GO 4,"174,99 €",siux,No data,palas,alto,hard eva,No data,dura,principiante / intermedio,No data,No data,lisa,potencia,hombre
SOFTEE BEACH TENNIS COPACABANA,"178,95 €",softee,"negro, naranja",palas,alto,No data,No data,No data,principiante / intermedio,mate,No data,rugosa,potencia,"hombre, mujer"
PACK PALA BULLPADEL VERTEX LTD,"116,95 €",bullpadel,No data,palas,alto,hard eva,No data,dura,avanzado / competición,No data,diamante,rugosa,potencia,hombre
ADIDAS ADIPOWER MULTIWEIGHT CTRL 2023,"184,60 €",adidas,"negro, naranja",palas,medio,eva,No data,No data,avanzado / competición,No data,redonda,rugosa,polivalente,hombre
ORYGEN INTRUDER,"15,95 €",orygen,"negro, rosa",palas,bajo,foam,No data,blanda,principiante / intermedio,mate,redonda,lisa,No data,"hombre, mujer"
ADIDAS METALBONE 3.2 2023,"199,95 €",adidas,"negro, blanco, rojo",palas,medio,soft eva,No data,No data,avanzado / competición,No data,diamante,rugosa,control,hombre
NOX TEMPO WPT LUXURY SERIES 2022,"109,95 €",nox,No data,palas,medio,black eva,No data,No data,profesional,No data,lágrima,rugosa,No data,hombre
PALA SIUX FENIX III JAVI RUIZ PRO,"119,95 €",siux,"negro, naranja",palas,medio,eva,No data,media,"avanzado / competición, profesional",No data,No data,rugosa,polivalente,hombre
BULLPADEL HACK 03 CTR 2023,"109,95 €",bullpadel,"negro, azul, plateado",palas,bajo,eva,No data,No data,avanzado / competición,mate,redonda,lisa,control,"hombre, mujer"
BULLPADEL VERTEX 03 COMFORT 2023,"98,95 €",bullpadel,"negro, plateado",palas,alto,eva,"carbono, fibra de vidrio",No data,avanzado / competición,mate,diamante,lisa,potencia,"hombre, mujer"
BULLPADEL HACK 03 COMFORT 23,"105,95 €",bullpadel,"negro, gris",palas,alto,eva,No data,No data,avanzado / competición,mate,diamante,rugosa,potencia,hombre
NOX ULTIMATE POWER LTD CARBON,"112,95 €",nox,"blanco, gold",palas,bajo,medium eva,fibra de vidrio,No data,avanzado / competición,No data,redonda,lisa,No data,"hombre, mujer"
NOX ML10 PRO CUP CORP 2022,"79,95 €",nox,"negro, blanco",palas,alto,black eva,No data,No data,avanzado / competición,mate,diamante,rugosa,potencia,"hombre, mujer"
ADIDAS ADIPOWER LIGHT 3.2 2023,"129,95 €",adidas,"negro, blanco, multicolor",palas,medio,soft eva,No data,No data,avanzado / competición,No data,lágrima,rugosa,polivalente,mujer
SIUX Genesis II LUCHO CAPRA PRO,"99,95 €",siux,No data,palas,medio,eva,No data,media,avanzado / competición,No data,No data,No data,polivalente,hombre
BABOLAT AIR VERON 2023,"129,95 €",babolat,"negro, blanco, azul, rojo",palas,alto,black eva,"carbono, fibra de vidrio",media,avanzado / competición,No data,No data,rugosa,potencia,hombre
NOX SHADOW POWER FIBER,"86,95 €",nox,"negro, naranja",palas,alto,medium eva,No data,No data,avanzado / competición,No data,diamante,rugosa,No data,"hombre, mujer"
BULLPADEL X-COMPACT 2 LTD ROSA,"39,95 €",bullpadel,"negro, rosa",palas,bajo,soft eva,fibra de vidrio,No data,principiante / intermedio,mate,redonda,lisa,No data,"hombre, mujer"
SIUX INSPIRE 4.0,"54,95 €",siux,"negro, amarillo",palas,medio,soft eva,fibra de vidrio,No data,avanzado / competición,mate,lágrima,lisa,No data,"hombre, mujer"
ADIDAS ADIPOWER CTRL 3.1 2022,"139,95 €",adidas,"negro, naranja, azul",palas,"medio, bajo",hard eva,No data,No data,"avanzado / competición, profesional",No data,redonda,rugosa,No data,hombre
HEAD GRAPHENE 360 ALPHA ULTIMATE,"99,95 €",head,gris,palas,medio,foam,fibra de vidrio,No data,avanzado / competición,mate,lágrima,lisa,No data,"hombre, mujer"
BULLPADEL X-COMPACT 2 LTD AMARILLO,"39,95 €",bullpadel,"negro, amarillo",palas,bajo,soft eva,fibra de vidrio,No data,principiante / intermedio,mate,redonda,lisa,No data,"hombre, mujer"
NOX LOAD ARENA,"66,95 €",nox,"negro, gris",palas,"medio, bajo",medium eva,fibra de vidrio,No data,avanzado / competición,No data,redonda,rugosa,No data,"hombre, mujer"
NOX SHADOW DRIVE FIBER,"86,95 €",nox,"negro, amarillo",palas,alto,hard eva,No data,No data,avanzado / competición,No data,lágrima,rugosa,No data,"hombre, mujer"
BULLPADEL IONIC POWER 2022,"87,95 €",bullpadel,"negro, verde",palas,alto,medium eva,No data,No data,avanzado / competición,No data,diamante,rugosa,No data,"hombre, mujer"
ADIDAS ADIPOWER LIGHT 3.1 2022,"136,11 €",adidas,"negro, blanco, verde",palas,medio,soft eva,No data,No data,avanzado / competición,No data,redonda,rugosa,No data,"hombre, mujer"
BULLPADEL GOLD XSERIES 3.0,"98,95 €",nox,azul,palas,alto,soft eva,No data,No data,avanzado / competición,mate,diamante,rugosa,potencia,hombre
NOX X PRO,"64,95 €",bullpadel,"naranja, morado",palas,medio,soft eva,No data,No data,principiante / intermedio,mate,lágrima,lisa,No data,mujer
SIUX ELECTRA ST3 STUPA PRO,"295,00 €",bullpadel,"amarillo, rosa",palas,medio,eva,fibra de vidrio,No data,principiante / intermedio,mate,lágrima,lisa,control,junior
BULLPADEL LEGEND 4.0 WOMAN,"69,95 €",siux,"negro, amarillo",palas,medio,hard eva,No data,media,avanzado / competición,No data,No data,rugosa,polivalente,hombre
BULLPADEL INDIGA GIRL 2023,"47,95 €",bullpadel,"negro, azul",palas,bajo,soft eva,fibra de vidrio,No data,avanzado / competición,mate,redonda,lisa,No data,mujer
NOX ML10 SHOTGUN LUXURY SERIES 23,"219,95 €",nox,"negro, rojo",palas,alto,eva,No data,No data,avanzado / competición,No data,diamante,rugosa,potencia,"hombre, mujer"
DUNLOP EXPLOSIVE PRO LTD LIMA,"49,95 €",dunlop,"negro, azul, lima",palas,medio,foam,fibra de vidrio,No data,principiante / intermedio,No data,redonda,lisa,No data,"hombre, mujer"
SIUX FENIX PRO 4,"295,00 €",siux,No data,palas,alto,hard eva,No data,dura,profesional,No data,diamante,rugosa,potencia,hombre
NOX ML10 PRO CUP BLACK EDITION 2022,"99,95 €",nox,"negro, gold",palas,bajo,medium eva,fibra de vidrio,No data,avanzado / competición,No data,redonda,lisa,No data,"hombre, mujer"
HEAD GRAVITY PRO 2022,"114,95 €",head,"negro, azul, rosa",palas,"medio, bajo",foam,No data,No data,avanzado / competición,No data,redonda,lisa,No data,"hombre, mujer"
BULLPADEL SKY POWER,"79,95 €",bullpadel,"negro, verde",palas,"alto, medio",soft eva,fibra de vidrio,No data,principiante / intermedio,mate,diamante,lisa,No data,"hombre, mujer"
NOX LOAD 3D,"66,95 €",nox,"negro, gris",palas,medio,eva,fibra de vidrio,No data,avanzado / competición,mate,lágrima,rugosa,control,"hombre, mujer"
ADIDAS ADIPOWER SOFT 2.0,"121,00 €",adidas,No data,palas,alto,soft eva,No data,media,"avanzado / competición, profesional",No data,diamante,lisa,potencia,hombre
BULLPADEL HACK WOMAN,"109,95 €",bullpadel,"negro, rosa",palas,bajo,black eva,No data,media,avanzado / competición,mate,redonda,rugosa,control,mujer
WILSON BELA LT V2 BLANCO,"159,95 €",wilson,blanco,palas,alto,soft eva,No data,No data,avanzado / competición,mate,diamante,rugosa,potencia,"hombre, mujer"
ADIDAS ADIPOWER W TEAM MUJER 2023,"105,95 €",adidas,"negro, multicolor",palas,bajo,soft eva,fibra de vidrio,No data,avanzado / competición,No data,lágrima,rugosa,control,mujer
ADIDAS ADIPOWER MULTIWEIGHT MASTER LTD 2023,"239,95 €",adidas,No data,palas,alto,hard eva,No data,media,avanzado / competición,mate,redonda,rugosa,polivalente,hombre
DUNLOP SKIN CONTROL,"171,95 €",dunlop,"negro, gris, azul",palas,medio,soft eva,No data,No data,principiante / intermedio,mate,lágrima,lisa,No data,"hombre, mujer"
DUNLOP SKIN ATTACK,"59,95 €",dunlop,"negro, amarillo, azul",palas,medio,medium eva,No data,No data,principiante / intermedio,mate,lágrima,lisa,No data,"hombre, mujer"
BULLPADEL AXYM WOMAN 2022,"63,95 €",bullpadel,"gold, verde",palas,medio,soft eva,"carbono, fibra de vidrio",No data,avanzado / competición,No data,lágrima,rugosa,No data,mujer
WILSON BLADE PRO PADEL V2 2 NEGRO DORADO,"202,95 €",wilson,"negro, gold",palas,"alto, medio",soft eva,No data,No data,avanzado / competición,No data,lágrima,rugosa,No data,"hombre, mujer"
HEAD SPEED PRO 2023,"139,95 €",head,"negro, gris",palas,alto,foam,fibra de vidrio,No data,avanzado / competición,No data,lágrima,lisa,potencia,hombre
HEAD FLASH 2023 VERDE MORADO,"65,95 €",head,No data,palas,medio,foam,fibra de vidrio,blanda,principiante / intermedio,mate,lágrima,lisa,polivalente,hombre
NOX SILHOUTTE 6 LADY,"54,95 €",nox,"negro, fucsia",palas,bajo,hard eva,No data,dura,principiante / intermedio,No data,redonda,lisa,polivalente,mujer
VARLION MAXIMA SUMMUM PRISMA HUMAN PADEL OPEN,"204,95 €",varlion,"gris, azul, rojo",palas,medio,supersoft eva,No data,No data,"avanzado / competición, profesional",mate,lágrima,lisa,No data,hombre
HEAD CHALLENGE AMARILLO VERDE,"72,95 €",head,"negro, amarillo, verde",palas,medio,foam,fibra de vidrio,No data,principiante / intermedio,mate,lágrima,lisa,No data,"hombre, mujer"
HEAD CALIBRE NARANJA,"44,95 €",head,"negro, naranja",palas,medio,foam,fibra de vidrio,No data,principiante / intermedio,No data,lágrima,lisa,No data,hombre
ADIDAS CROSS IT LIGHT 2024,"169,95 €",adidas,"gris, azul",palas,bajo,medium eva,No data,media,avanzado / competición,No data,redonda,rugosa,control,mujer
STAR VIE BASALTO CARBON ORO,"99,95 €",No data,"negro, gold",palas,medio,soft eva,No data,No data,avanzado / competición,No data,redonda,rugosa,No data,"hombre, mujer"
BULLPADEL VERTEX 04 MASTER FINAL 2023,"244,95 €",bullpadel,No data,palas,alto,multieva,No data,media,avanzado / competición,No data,diamante,rugosa,potencia,hombre
STAR VIE BASALTO OSIRIS,"119,95 €",No data,"negro, amarillo",palas,alto,soft eva,No data,No data,avanzado / competición,No data,lágrima,rugosa,No data,"hombre, mujer"
DUNLOP IMPACT CARBON PRO LTD NARANJA,"69,95 €",dunlop,"negro, gris, naranja",palas,medio,eva,fibra de vidrio,No data,avanzado / competición,mate,No data,rugosa,polivalente,"hombre, mujer"
ADIDAS X-TREME NEGRO BLANCO,"49,95 €",adidas,"negro, blanco",palas,bajo,soft eva,fibra de vidrio,No data,avanzado / competición,No data,redonda,rugosa,No data,"hombre, mujer"
STAR VIE AQUILA SPACE,"119,95 €",No data,"negro, amarillo, azul",palas,alto,soft eva,No data,No data,avanzado / competición,No data,lágrima,rugosa,No data,"hombre, mujer"
WINGPADEL AIR TORNADO ATTK 4.0 3K,"51,95 €",wingpadel,"negro, rojo, verde",palas,"alto, medio",soft eva,No data,No data,avanzado / competición,mate,diamante,lisa,potencia,hombre
HEAD EVO SPEED 2023,"45,95 €",head,"negro, azul",palas,bajo,foam,fibra de vidrio,No data,principiante / intermedio,No data,lágrima,lisa,control,"hombre, mujer"
NOX MP10 GEM ATOMIKAS 23,"108,95 €",nox,"negro, multicolor",palas,bajo,eva,No data,No data,avanzado / competición,No data,redonda,rugosa,polivalente,"hombre, mujer"
DUNLOP SAMURAI,"49,95 €",dunlop,"negro, gris, azul",palas,medio,soft eva,No data,No data,principiante / intermedio,mate,lágrima,lisa,No data,"hombre, mujer"
HEAD FLASH 2023,"54,95 €",head,"negro, marrón",palas,medio,foam,fibra de vidrio,dura,principiante / intermedio,mate,lágrima,No data,polivalente,hombre
ADIDAS ADIPOWER 3.1 2022,"148,95 €",adidas,"negro, amarillo, azul",palas,alto,medium eva,No data,No data,avanzado / competición,No data,diamante,rugosa,No data,hombre
ADIDAS ADIPOWER CTRL 3.0,"119,95 €",adidas,"negro, blanco, naranja",palas,medio,medium eva,No data,No data,"avanzado / competición, profesional",No data,redonda,rugosa,No data,"hombre, mujer"
NOX ML10 LIMITED EDITION 2023,"184,95 €",nox,"negro, gris",palas,bajo,eva,No data,media,avanzado / competición,No data,redonda,rugosa,control,hombre
PALA SIUX SUBZERO 3,"99,95 €",siux,"negro, rojo",palas,alto,soft eva,No data,No data,avanzado / competición,mate,diamante,rugosa,potencia,hombre
NOX ATTRACTION WPT ADVANCED SERIES 2022,"87,95 €",nox,"negro, amarillo",palas,alto,medium eva,fibra de vidrio,No data,avanzado / competición,No data,diamante,rugosa,No data,hombre
ADIDAS METALBONE 3.3 2024,"239,95 €",adidas,negro,palas,alto,soft eva,No data,blanda,avanzado / competición,No data,diamante,rugosa,potencia,hombre
DUNLOP EXPLOSIVE PRO LTD AZUL,"64,95 €",dunlop,"negro, azul, verde",palas,medio,foam,fibra de vidrio,No data,principiante / intermedio,No data,redonda,lisa,No data,"hombre, mujer"
WILSON ULTRA TEAM V2,"54,95 €",wilson,"negro, azul",palas,alto,medium eva,fibra de vidrio,No data,avanzado / competición,mate,diamante,lisa,No data,"hombre, mujer"
PALA SIUX ELECTRA ST2 JUNIOR,"49,95 €",siux,"negro, amarillo",palas,medio,black eva,No data,media,avanzado / competición,No data,No data,rugosa,polivalente,junior
BABOLAT TECHNICAL VERTUO 2022,"85,95 €",babolat,rojo,palas,alto,black eva,fibra de vidrio,No data,avanzado / competición,No data,diamante,rugosa,No data,hombre
WILSON BELA TEAM PADEL 2,"88,95 €",wilson,"negro, rojo",palas,alto,medium eva,fibra de vidrio,No data,avanzado / competición,No data,diamante,lisa,No data,"hombre, mujer"
DUNLOP RENEGADE SOFT,"49,95 €",dunlop,"negro, gris, rosa",palas,bajo,soft eva,No data,No data,principiante / intermedio,mate,redonda,lisa,No data,"hombre, mujer"
ADIDAS PRO CARBON CTRL GOLD,"110,95 €",adidas,"negro, gold",palas,bajo,soft eva,No data,No data,avanzado / competición,No data,redonda,lisa,No data,"hombre, mujer"
NOX ML 10 PRO CUP SILVER,"87,95 €",nox,"blanco, rosa",palas,medio,eva,fibra de vidrio,No data,avanzado / competición,No data,redonda,lisa,polivalente,hombre
BULLPADEL AXYM DB 2022,"69,95 €",bullpadel,"rojo, plateado",palas,medio,soft eva,"carbono, fibra de vidrio",No data,avanzado / competición,No data,lágrima,rugosa,No data,"hombre, mujer"
ADIDAS METALBONE YOUTH 3.2 JUNIOR 2023,"69,00 €",adidas,"negro, blanco, rojo",palas,alto,soft eva,fibra de vidrio,No data,principiante / intermedio,No data,diamante,lisa,potencia,junior
STAR VIE TITANIA KEPLER,"69,95 €",No data,"negro, azul, rojo",palas,medio,soft eva,fibra de vidrio,No data,avanzado / competición,No data,redonda,rugosa,No data,"hombre, mujer"
HEAD DELTA JUNIOR 2022,"49,95 €",head,No data,palas,"alto, medio",foam,fibra de vidrio,No data,principiante / intermedio,mate,lágrima,lisa,No data,junior
BULLPADEL SKY AMARILLO,"35,95 €",bullpadel,"negro, amarillo",palas,bajo,soft eva,fibra de vidrio,No data,principiante / intermedio,mate,redonda,lisa,No data,"hombre, mujer"
STAR VIE ICARUS,"39,95 €",No data,"negro, gris",palas,medio,soft eva,fibra de vidrio,No data,avanzado / competición,mate,redonda,lisa,No data,"hombre, mujer"
DUNLOP IMPACT CARBON PRO LTD VERDE,"44,95 €",dunlop,"negro, gris, verde",palas,medio,eva,fibra de vidrio,No data,avanzado / competición,mate,No data,rugosa,polivalente,"hombre, mujer"
SIUX ELECTRA ST2 HYBRID,"139,95 €",siux,"negro, azul",palas,medio,eva,No data,media,avanzado / competición,No data,No data,rugosa,polivalente,hombre
VIBOR-A KING COBRA BLACK 1K,"135,95 €",vibor-a,"negro, rojo",palas,alto,soft eva,No data,No data,avanzado / competición,No data,diamante,rugosa,No data,"hombre, mujer"
WILSON BLADE PRO PADEL V2 2 NEGRO VERDE,"165,95 €",wilson,"negro, verde",palas,"alto, medio",soft eva,No data,No data,avanzado / competición,No data,lágrima,rugosa,No data,"hombre, mujer"
BULLPADEL SKY ROSA,"55,95 €",bullpadel,"negro, rosa",palas,bajo,soft eva,fibra de vidrio,No data,principiante / intermedio,mate,redonda,lisa,No data,"hombre, mujer"
NOX MJ10 GEM ATOMIKAS 23,"109,95 €",nox,"negro, naranja, azul",palas,medio,eva,No data,No data,avanzado / competición,mate,lágrima,rugosa,polivalente,"hombre, mujer"
SIUX DIABLO REVOLUTION 2 JUNIOR AZUL,"44,95 €",siux,No data,palas,bajo,eva,fibra de vidrio,media,principiante / intermedio,No data,No data,lisa,polivalente,junior
SIUX SUBZERO 2.0,"99,95 €",siux,"negro, rojo",palas,medio,black eva,No data,No data,avanzado / competición,No data,diamante,rugosa,No data,"hombre, mujer"
VIBOR-A YARARA BLACK SERIES 1K,"99,95 €",vibor-a,"negro, gold",palas,medio,black eva,No data,No data,avanzado / competición,No data,lágrima,rugosa,No data,"hombre, mujer"
STAR VIE DRONOS GALAXY,"125,95 €",No data,"negro, morado",palas,medio,soft eva,No data,No data,avanzado / competición,No data,lágrima,rugosa,No data,"hombre, mujer"
BLACK CROWN PITON 8.0,"79,95 €",black crown,"rojo, plateado",palas,medio,medium eva,fibra de vidrio,No data,avanzado / competición,No data,redonda,lisa,No data,"hombre, mujer"
WINGPADEL AIR FORCE 3.0 CTRL,"64,95 €",wingpadel,"negro, gold, rojo",palas,medio,soft eva,No data,No data,avanzado / competición,No data,redonda,rugosa,No data,"hombre, mujer"
DUNLOP INFERNO ELITE LTD AMARILLO AZUL,"64,95 €",dunlop,"negro, amarillo, azul",palas,medio,medium eva,No data,No data,avanzado / competición,No data,lágrima,rugosa,No data,"hombre, mujer"
BULLPADEL BLACK DRAGON 4.0,"69,95 €",bullpadel,"negro, amarillo",palas,bajo,soft eva,fibra de vidrio,No data,avanzado / competición,No data,redonda,rugosa,No data,"hombre, mujer"
PALA SIUX INVICTA,"78,95 €",siux,"negro, azul",palas,alto,soft eva,No data,No data,principiante / intermedio,mate,diamante,No data,potencia,hombre
PALA SIUX ANDROID,"64,95 €",siux,"negro, amarillo",palas,medio,soft eva,fibra de vidrio,No data,principiante / intermedio,No data,No data,lisa,polivalente,hombre
WINGPADEL AIR COMBAT 3.0 ATTACK,"50,95 €",wingpadel,negro,palas,alto,soft eva,No data,No data,avanzado / competición,mate,diamante,lisa,No data,"hombre, mujer"
PALA SIUX SX7,"49,95 €",siux,"negro, rojo",palas,bajo,soft eva,fibra de vidrio,No data,principiante / intermedio,mate,redonda,lisa,control,hombre
STAR VIE RAPTOR 2022,"124,95 €",No data,No data,palas,medio,soft eva,No data,No data,avanzado / competición,No data,redonda,rugosa,No data,"hombre, mujer"
BULLPADEL IONIC LIGHT 24,"98,95 €",bullpadel,azul,palas,medio,multieva,"carbono, fibra de vidrio",media,principiante / intermedio,No data,lágrima,rugosa,polivalente,"hombre, mujer"
BLACK CROWN HURRICANE PRO 2022,"199,95 €",black crown,No data,palas,"alto, medio",supersoft eva,No data,No data,avanzado / competición,No data,redonda,rugosa,No data,mujer
HEAD FLASH 2023 ROJO NEGRO,"89,95 €",head,No data,palas,medio,eva,fibra de vidrio,media,principiante / intermedio,mate,lágrima,lisa,potencia,hombre
ADIDAS METALBONE YOUTH 3.1 2022,"71,95 €",adidas,"gris, rojo",palas,"alto, medio",soft eva,fibra de vidrio,No data,principiante / intermedio,mate,diamante,lisa,No data,junior
BULLPADEL LEGEND 4.0,"69,95 €",bullpadel,"negro, naranja",palas,bajo,soft eva,fibra de vidrio,No data,avanzado / competición,mate,redonda,lisa,No data,"hombre, mujer"
WILSON BLADE ELITE V2 PADEL,"84,95 €",wilson,"negro, verde",palas,"alto, medio",soft eva,"carbono, fibra de vidrio",No data,avanzado / competición,No data,lágrima,rugosa,No data,"hombre, mujer"
ADIDAS X-TREME ORANGE BLACK,"59,95 €",adidas,"negro, naranja",palas,bajo,soft eva,fibra de vidrio,No data,avanzado / competición,mate,redonda,rugosa,control,"hombre, mujer"
BULLPADEL HACK JUNIOR 2023,"29,95 €",bullpadel,"negro, plateado",palas,medio,eva,fibra de vidrio,No data,avanzado / competición,mate,diamante,lisa,polivalente,junior
SIUX TRILOGY CONTROL PRO 4,"295,00 €",siux,"negro, verde",palas,bajo,eva,No data,media,profesional,No data,redonda,rugosa,control,hombre
SIUX EVOQUE 3,"89,95 €",siux,"negro, verde",palas,medio,soft eva,No data,blanda,principiante / intermedio,No data,No data,lisa,polivalente,hombre
BLACK CROWN PITON NAKANO SOFT,"69,95 €",black crown,"negro, morado",palas,"medio, bajo",soft eva,fibra de vidrio,No data,avanzado / competición,mate,redonda,lisa,No data,mujer
NOX X-ONE C.6,"49,95 €",nox,negro,palas,medio,hard eva,fibra de vidrio,dura,principiante / intermedio,No data,redonda,rugosa,polivalente,hombre
SIUX RADICAL PRO IV,"59,95 €",siux,"negro, verde",palas,alto,soft eva,No data,No data,avanzado / competición,No data,diamante,rugosa,No data,"hombre, mujer"
RS PRIME CONTROL EDITION 2.0,"224,95 €",No data,"negro, blanco",palas,medio,soft eva,No data,No data,avanzado / competición,No data,lágrima,rugosa,No data,hombre
PALA SIUX OPTIMUS 5,"49,95 €",siux,"negro, naranja",palas,medio,soft eva,fibra de vidrio,No data,principiante / intermedio,mate,No data,lisa,polivalente,"hombre, mujer"
RS PRO EDITION POWER,"269,95 €",No data,"negro, blanco, gold",palas,alto,eva,No data,No data,avanzado / competición,No data,lágrima,rugosa,potencia,hombre
VARLION BOURNE CARBON TITAN,"79,95 €",varlion,"gris, naranja",palas,medio,medium eva,No data,No data,avanzado / competición,No data,lágrima,rugosa,No data,"hombre, mujer"
BULLPADEL K2 POWER 2024,"52,95 €",bullpadel,"negro, azul",palas,alto,soft eva,No data,No data,avanzado / competición,mate,diamante,lisa,potencia,hombre
BULLPADEL HACK 02 21 RD,"134,95 €",bullpadel,"negro, naranja",No data,alto,multieva,No data,media,profesional,mate,No data,lisa,polivalente,hombre
STAR VIE PRODIGY 24K,"175,95 €",No data,"negro, amarillo",palas,"medio, bajo",medium eva,No data,No data,avanzado / competición,No data,redonda,lisa,No data,"hombre, mujer"
SIUX PEGASUS REVOLUTION 12K,"129,95 €",siux,"negro, rojo",palas,medio,soft eva,No data,No data,avanzado / competición,mate,lágrima,rugosa,No data,"hombre, mujer"
BULLPADEL HACK 03 MASTER FINAL 23,"244,95 €",bullpadel,negro,palas,alto,multieva,No data,media,avanzado / competición,No data,diamante,lisa,potencia,hombre
WILSON ACCENT PADEL 2,"104,95 €",wilson,azul,palas,medio,soft eva,"carbono, fibra de vidrio",media,No data,No data,lágrima,rugosa,polivalente,"hombre, mujer"
TECNIFIBRE WALL MASTER 360,"76,95 €",tecnifibre,"negro, blanco, rojo",palas,bajo,soft eva,fibra de vidrio,No data,principiante / intermedio,mate,redonda,lisa,No data,"hombre, mujer"
DUNLOP INFERNO ULTIMATE PRO BLACK,"59,95 €",dunlop,"negro, gold",palas,medio,soft eva,fibra de vidrio,No data,avanzado / competición,mate,No data,lisa,polivalente,"hombre, mujer"
SIUX TSUNAMI 5.0 24K,"82,95 €",siux,"negro, rojo",palas,alto,soft eva,No data,No data,avanzado / competición,mate,lágrima,lisa,No data,"hombre, mujer"
WILSON CARBON FORCE PADEL 2 2024,"79,95 €",wilson,No data,palas,alto,soft eva,fibra de vidrio,media,principiante / intermedio,No data,lágrima,lisa,polivalente,hombre
DUNLOP NEMESIS,"79,95 €",dunlop,"negro, blanco, rojo",palas,medio,soft eva,No data,blanda,avanzado / competición,No data,lágrima,lisa,control,"hombre, mujer"
VARLION LW CARBON TI MUJER,"86,95 €",varlion,"negro, naranja",palas,bajo,ultrasoft eva,"carbono, fibra de vidrio",No data,avanzado / competición,No data,redonda,rugosa,No data,"hombre, mujer"
VIBORA LETHAL ATTACK,"81,95 €",vibor-a,"negro, azul",palas,"alto, medio",medium eva,No data,No data,avanzado / competición,No data,No data,lisa,No data,"hombre, mujer"
STAR VIE ARCADIA,"56,95 €",No data,"rojo, verde",palas,"medio, bajo",soft eva,fibra de vidrio,No data,principiante / intermedio,mate,redonda,lisa,No data,"hombre, mujer"
VARLION CANON DIFUSOR W 2021,"149,95 €",varlion,"negro, rojo",palas,alto,hard eva,No data,No data,avanzado / competición,No data,diamante,rugosa,No data,hombre
VIBOR-A YARARA XTREME FIBER 2024,"109,95 €",vibor-a,blanco,No data,medio,soft eva,fibra de vidrio,blanda,avanzado / competición,No data,lágrima,rugosa,polivalente,"hombre, mujer"
SIUX STONE AVANT,"99,00 €",siux,"negro, verde",palas,alto,soft eva,No data,No data,avanzado / competición,mate,lágrima,lisa,potencia,"hombre, mujer"
VARLION MAXIMA SUMMUM PRISMA RADIO S 2023,"241,95 €",varlion,"negro, lila",palas,medio,eva,No data,No data,avanzado / competición,No data,lágrima,rugosa,control,hombre
PALA VARLION BOURNE 8.8 VERDE,"73,95 €",varlion,"negro, verde",palas,medio,ultrasoft eva,fibra de vidrio,blanda,principiante / intermedio,mate,lágrima,lisa,polivalente,"hombre, mujer"
DROP SHOT CONQUEROR 10 SOFT,"95,95 €",drop shot,"negro, rosa",palas,"alto, medio",soft eva,No data,No data,avanzado / competición,No data,lágrima,rugosa,No data,"hombre, mujer"
SIUX SILVER POWER,"59,95 €",siux,"negro, rojo",palas,medio,eva,fibra de vidrio,No data,principiante / intermedio,mate,redonda,lisa,control,junior
WILSON BLADE LT PADEL 2,"104,95 €",wilson,"negro, azul",palas,"alto, medio",soft eva,No data,No data,avanzado / competición,No data,lágrima,rugosa,No data,"hombre, mujer"
SIUX TRILOGY CONTROL SPECIAL EDITION,"104,95 €",siux,"negro, blanco, lila",palas,bajo,soft eva,No data,No data,avanzado / competición,mate,redonda,lisa,control,mujer
BULLPADEL INDIGA BOY JUNIOR 2023,"50,95 €",bullpadel,azul,palas,medio,eva,fibra de vidrio,No data,principiante / intermedio,mate,lágrima,lisa,polivalente,junior
DUNLOP AERO-STAR,"229,95 €",dunlop,No data,palas,alto,eva,No data,dura,avanzado / competición,mate,diamante,rugosa,potencia,hombre
ADIDAS METALBONE CARBON 3.3 2024,"190,95 €",adidas,negro,palas,alto,soft eva,No data,blanda,avanzado / competición,No data,diamante,rugosa,potencia,hombre
