Palas,Precio,Marca,Color,Balance,Nucleo,Cara,Dureza,Nivel de Juego,Forma,Superficie,Tipo de Juego,Jugador
WILSON ACCENT PADEL 2,104.95,wilson,azul,medio,soft eva,mix,media,No data,lágrima,rugosa,polivalente,mixta
TECNIFIBRE WALL MASTER 360,76.95,tecnifibre,"negro, blanco, rojo",bajo,soft eva,fibra de vidrio,No data,principiante,redonda,lisa,No data,mixta
DUNLOP INFERNO ULTIMATE PRO BLACK,59.95,dunlop,"negro, gold",medio,soft eva,fibra de vidrio,No data,avanzado,No data,lisa,polivalente,mixta
SIUX TSUNAMI 5.0 24K,82.95,siux,"negro, rojo",alto,soft eva,No data,No data,avanzado,lágrima,lisa,No data,mixta
WILSON CARBON FORCE PADEL 2 2024,79.95,wilson,No data,alto,soft eva,fibra de vidrio,media,principiante,lágrima,lisa,polivalente,hombre
DUNLOP NEMESIS,79.95,dunlop,"negro, blanco, rojo",medio,soft eva,No data,blanda,avanzado,lágrima,lisa,control,mixta
VARLION LW CARBON TI MUJER,86.95,varlion,"negro, naranja",bajo,soft eva,mix,No data,avanzado,redonda,rugosa,No data,mixta
VIBORA LETHAL ATTACK,81.95,vibor-a,"negro, azul",No data,medium eva,No data,No data,avanzado,No data,lisa,No data,mixta
STAR VIE ARCADIA,56.95,No data,"rojo, verde",No data,soft eva,fibra de vidrio,No data,principiante,redonda,lisa,No data,mixta
VARLION CANON DIFUSOR W 2021,149.95,varlion,"negro, rojo",alto,hard eva,No data,No data,avanzado,diamante,rugosa,No data,hombre
VIBOR-A YARARA XTREME FIBER 2024,109.95,vibor-a,blanco,medio,soft eva,fibra de vidrio,blanda,avanzado,lágrima,rugosa,polivalente,mixta
SIUX STONE AVANT,99.0,siux,"negro, verde",alto,soft eva,No data,No data,avanzado,lágrima,lisa,potencia,mixta
VARLION MAXIMA SUMMUM PRISMA RADIO S 2023,241.95,varlion,"negro, lila",medio,medium eva,No data,No data,avanzado,lágrima,rugosa,control,hombre
PALA VARLION BOURNE 8.8 VERDE,73.95,varlion,"negro, verde",medio,soft eva,fibra de vidrio,blanda,principiante,lágrima,lisa,polivalente,mixta
DROP SHOT CONQUEROR 10 SOFT,95.95,drop shot,"negro, rosa",No data,soft eva,No data,No data,avanzado,lágrima,rugosa,No data,mixta
WILSON BLADE LT PADEL 2,104.95,wilson,"negro, azul",No data,soft eva,No data,No data,avanzado,lágrima,rugosa,No data,mixta
SIUX TRILOGY CONTROL SPECIAL EDITION,104.95,siux,"negro, blanco, lila",bajo,soft eva,No data,No data,avanzado,redonda,lisa,control,mujer
DUNLOP AERO-STAR,229.95,dunlop,No data,alto,medium eva,No data,dura,avanzado,diamante,rugosa,potencia,hombre
ADIDAS METALBONE CARBON 3.3 2024,190.95,adidas,negro,alto,soft eva,No data,blanda,avanzado,diamante,rugosa,potencia,hombre
VARLION AVANT DIFUSOR W 2021 RACPAC2012015,149.95,varlion,"negro, naranja",medio,soft eva,No data,No data,avanzado,lágrima,rugosa,No data,mixta
DUNLOP NEMESIS CONTROL,79.95,dunlop,"negro, amarillo",bajo,soft eva,fibra de vidrio,blanda,avanzado,redonda,lisa,No data,mixta
ADIDAS METALBONE HRD 3.2 2023,194.95,adidas,"negro, blanco, rojo",alto,medium eva,No data,No data,avanzado,diamante,rugosa,potencia,mixta
VARLION CANON DIFUSOR BLACK,107.95,varlion,"negro, gold",alto,medium eva,No data,media,avanzado,diamante,rugosa,potencia,mixta
VIBOR-A KING COBRA ANIVERSARIO,404.95,vibor-a,"negro, rojo",alto,soft eva,No data,No data,avanzado,diamante,lisa,No data,mixta
VARLION LW ONE 2023,61.95,varlion,"negro, azul, rojo, plateado",bajo,foam,fibra de vidrio,No data,principiante,redonda,lisa,control,mixta
WILSON CARBON FORCE PRO PADEL 2,151.95,wilson,azul,alto,soft eva,No data,blanda,avanzado,diamante,rugosa,polivalente,mixta
BLACK CROWN PITON 7.0 SOFT,206.95,black crown,"negro, amarillo",bajo,soft eva,mix,No data,avanzado,redonda,rugosa,No data,mixta
HEAD GRAPHENE 360 GAMMA MOTION 2022,117.95,head,"negro, azul",medio,foam,No data,No data,avanzado,redonda,lisa,No data,hombre
VARLION AVANT CTI DIFUSOR BLACK,73.95,varlion,"negro, rosa",medio,medium eva,No data,No data,avanzado,lágrima,rugosa,No data,mixta
ENEBE COMBAT ULTRA SOFT,59.95,enebe,"negro, amarillo, verde",bajo,soft eva,fibra de vidrio,No data,principiante,redonda,lisa,No data,mixta
SIUX EMPIRE GOLD,54.95,siux,"negro, gold",medio,medium eva,fibra de vidrio,No data,principiante,No data,lisa,No data,mixta
WINGPADEL COMBAT BLACK ATTK 2 3K,59.95,wingpadel,"negro, gris, naranja",alto,soft eva,No data,No data,avanzado,No data,rugosa,polivalente,hombre
BULLPADEL WING BALANCE,74.95,bullpadel,"negro, amarillo",medio,medium eva,fibra de vidrio,No data,avanzado,lágrima,lisa,No data,mixta
VIBORA LETHAL ADVANCED,69.95,vibor-a,"negro, rojo",medio,soft eva,No data,No data,avanzado,lágrima,lisa,No data,hombre
RS PADEL PRIME TEAM EDITION NEGRO TURQUESA,88.95,No data,"negro, rojo, verde",medio,soft eva,No data,No data,avanzado,lágrima,rugosa,No data,hombre
RS PADEL COBRA EDITION NEGRO VERDE MUJER,45.95,No data,verde,bajo,medium eva,fibra de vidrio,No data,principiante,redonda,rugosa,control,mujer
BABOLAT REFLEX 2022,116.95,babolat,"negro, blanco, azul",alto,medium eva,fibra de vidrio,No data,principiante,diamante,lisa,potencia,mixta
ROYAL PADEL WHIP EXTREME,189.95,royal padel,"negro, rojo",No data,No data,fibra de vidrio,No data,avanzado,redonda,No data,No data,mixta
DROP SHOT CONQUEROR 10,135.95,drop shot,"negro, gris, verde",alto,medium eva,No data,No data,pro,diamante,rugosa,No data,hombre
RS PRIME POWER EDITION 2.0,104.95,No data,"negro, gris",medio,soft eva,No data,No data,avanzado,lágrima,rugosa,No data,hombre
NOX AT10 GENIUS 18K AGUSTIN TAPIA 2022,152.95,nox,"gris, rojo",medio,medium eva,No data,No data,pro,lágrima,rugosa,No data,hombre
VARLION LW 8.8 WOMAN,52.95,varlion,rosa,bajo,soft eva,fibra de vidrio,No data,principiante,redonda,lisa,control,mujer
VIBOR-A LIQUID KING COBRA,170.95,No data,"negro, gold",bajo,soft eva,No data,No data,avanzado,redonda,rugosa,No data,mixta
STARVIE TITANIA KEPLER PRO 2.0 2023,188.95,vibor-a,"negro, rojo",alto,medium eva,No data,No data,avanzado,lágrima,rugosa,control,mixta
ARES SPEAR,129.95,No data,"negro, rojo, lila",bajo,medium eva,No data,No data,avanzado,redonda,rugosa,No data,mixta
BULLPADEL FLOW W MUJER MASTER FINAL 23,202.95,bullpadel,negro,alto,medium eva,No data,media,avanzado,diamante,lisa,potencia,mujer
VARLION BOURNE PRISMA AIRFLOW W LIMA 2023,254.95,dunlop,"negro, amarillo, gris",medio,medium eva,fibra de vidrio,No data,avanzado,No data,rugosa,polivalente,mixta
DUNLOP IMPACT CARBON PRO LTD AMARILLA,69.95,varlion,"negro, amarillo",alto,medium eva,No data,No data,pro,diamante,rugosa,potencia,hombre
RS RIALTO PRO LIGHT 2024,251.95,No data,blanco,medio,medium eva,No data,blanda,principiante,lágrima,rugosa,polivalente,hombre
BABOLAT REVENGE WOMAN 2022,75.95,babolat,"negro, naranja",medio,medium eva,fibra de vidrio,No data,avanzado,lágrima,lisa,polivalente,mujer
WILSON ULTRA ELITE V2 PADEL,94.95,wilson,"negro, azul",alto,soft eva,mix,No data,avanzado,diamante,rugosa,No data,mixta
ENEBE RSX CARBON 22,120.95,enebe,"negro, rojo",medio,soft eva,No data,No data,avanzado,lágrima,lisa,No data,mixta
NOX EQUATION WPT ADVANCED SERIES 23 MUJER,59.95,nox,"blanco, rosa",bajo,medium eva,fibra de vidrio,No data,avanzado,redonda,rugosa,control,mujer
VARLION CARRERA C BLACK LTD,60.95,head,negro,medio,foam,fibra de vidrio,media,principiante,lágrima,lisa,polivalente,mixta
HEAD EVO EXTREME 2023,284.95,varlion,gris,medio,medium eva,No data,media,avanzado,lágrima,rugosa,polivalente,hombre
ADIDAS ADIPOWER MULTIWEIGHT 2023,184.6,adidas,"negro, amarillo",medio,medium eva,No data,No data,avanzado,diamante,rugosa,polivalente,hombre
HEAD ZEPHYR 2023,115.95,vibor-a,No data,medio,soft eva,No data,No data,avanzado,lágrima,lisa,No data,hombre
VIBOR-A BLACKHEAD CARBON 2022,95.95,head,"negro, rosa",medio,foam,No data,No data,principiante,redonda,rugosa,polivalente,hombre
HEAD SPEED MOTION 2023,129.95,head,"negro, marrón",alto,foam,mix,No data,avanzado,lágrima,lisa,potencia,hombre
PALA SIUX PEGASUS REVOLUTION 3K,129.95,siux,"negro, marrón",alto,soft eva,No data,media,avanzado,lágrima,lisa,potencia,hombre
BLACK CROWN PITON ATTACK 12K PLUS,144.95,black crown,"negro, lima",No data,soft eva,No data,No data,avanzado,lágrima,rugosa,No data,hombre
DUNLOP INFINITY PRO G1 HL METAL,89.95,dunlop,"negro, gris",medio,medium eva,No data,media,avanzado,lágrima,lisa,polivalente,hombre
VIBORA LETHAL HYBRID,84.95,vibor-a,"negro, gold",alto,soft eva,No data,No data,avanzado,No data,lisa,No data,hombre
ROYAL PADEL 790 WHIP HYBRID,161.95,royal padel,"negro, azul, rojo",medio,No data,fibra de vidrio,No data,avanzado,No data,No data,No data,hombre
DUNLOP INFERNO ELITE LT G1 HL AZUL NARANJA,89.95,dunlop,"negro, naranja, azul",medio,medium eva,No data,No data,avanzado,lágrima,lisa,No data,mixta
VARLION LW HEXAGON 8.8 2023,89.95,varlion,"azul, verde",bajo,soft eva,mix,No data,principiante,redonda,rugosa,control,mixta
LEGEND ODYSSEY 2.0,59.95,No data,"negro, azul",medio,soft eva,No data,blanda,principiante,No data,lisa,polivalente,hombre
PALA SIUX OPTIMUS 5 AIR,49.95,siux,"negro, azul",medio,soft eva,fibra de vidrio,No data,principiante,No data,rugosa,polivalente,mujer
BULLPADEL NEURON MASTER FINAL 2023,223.95,bullpadel,No data,medio,medium eva,No data,No data,pro,No data,lisa,polivalente,hombre
RS PADEL PRO EDITION CAYETANO ROCAFORT,124.95,No data,"negro, gold",No data,medium eva,No data,No data,avanzado,No data,rugosa,No data,hombre
WILSON BELA LT PADEL 2,132.95,wilson,"negro, rojo",alto,soft eva,No data,No data,avanzado,diamante,lisa,No data,mixta
STAR VIE TITANIA KEPLER PRO,69.95,No data,"negro, azul, rojo",medio,medium eva,No data,No data,pro,redonda,rugosa,No data,mixta
HEAD EXTREME MOTION 2023,168.95,head,verde,alto,foam,mix,media,avanzado,diamante,rugosa,potencia,mixta
DROP SHOT TOP GUN,88.95,drop shot,"negro, verde",medio,soft eva,No data,No data,principiante,No data,rugosa,No data,mixta
RS PADEL COBRA EDITION NEGRO ROSA MUJER,89.95,No data,"negro, rosa",medio,soft eva,fibra de vidrio,No data,principiante,redonda,rugosa,No data,mujer
STAR VIE METHEORA WARRIOR 2022,119.95,No data,No data,medio,soft eva,No data,No data,avanzado,redonda,rugosa,No data,hombre
WINGPADEL AIR COMBAT BLACK ATTACK 4.0,49.95,wingpadel,"negro, plateado",No data,medium eva,No data,media,avanzado,diamante,lisa,potencia,hombre
HEAD ZEPHYR UL 2023 225053,71.95,head,"negro, amarillo",medio,foam,No data,No data,principiante,redonda,rugosa,polivalente,hombre
DUNLOP INFERNO ELITE LT G1 HL NARANJA AZUL,89.95,siux,"negro, azul",medio,soft eva,fibra de vidrio,No data,avanzado,redonda,lisa,No data,hombre
SIUX SX6,65.95,dunlop,"negro, naranja, azul",medio,medium eva,No data,No data,avanzado,lágrima,rugosa,No data,mixta
BULLPADEL X COMPACT 2 LTD PLATA,49.95,bullpadel,"negro, plateado",bajo,soft eva,fibra de vidrio,No data,avanzado,redonda,lisa,No data,mixta
DUNLOP SONIC SOFT,59.95,dunlop,"negro, azul",medio,soft eva,No data,No data,principiante,lágrima,lisa,No data,mixta
PALA SIUX TSUNAMI REVOLUTION,84.95,siux,"negro, rojo",medio,soft eva,No data,No data,avanzado,No data,lisa,control,hombre
WILSON PRO STAFF SPEED,39.95,wilson,naranja,medio,medium eva,fibra de vidrio,blanda,principiante,lágrima,lisa,polivalente,hombre
ADIDAS MATCH 3.2 2023,41.95,adidas,"negro, blanco, azul",medio,soft eva,fibra de vidrio,No data,principiante,lágrima,lisa,polivalente,hombre
NOX AT10 GENIUS HARD AGUSTÍN TAPIA 2022,149.95,nox,No data,medio,medium eva,No data,No data,pro,lágrima,rugosa,No data,hombre
ADIDAS METALBONE TEAM 3.3 2024,136.95,adidas,"negro, rojo",alto,soft eva,fibra de vidrio,blanda,avanzado,diamante,rugosa,potencia,hombre
WILSON BLADE TOUR V2,124.95,wilson,"negro, lima",medio,hard eva,No data,No data,avanzado,lágrima,rugosa,No data,hombre
HEAD DELTA ELITE 2022,94.95,head,No data,alto,foam,fibra de vidrio,No data,principiante,diamante,lisa,No data,mixta
PACK BULLPADEL VERTEX 03 23 MAN,174.95,bullpadel,No data,medio,medium eva,No data,media,pro,diamante,rugosa,control,mujer
PACK BULLPADEL VERTEX 03 WOMAN,132.95,bullpadel,negro,alto,medium eva,No data,media,avanzado,diamante,rugosa,potencia,hombre
BABOLAT REVEAL 2022,71.95,babolat,verde,bajo,medium eva,No data,media,principiante,redonda,lisa,polivalente,mixta
MYSTICA LEGACY CARBON ATTACK RED 2024,83.95,No data,negro,alto,medium eva,No data,dura,avanzado,diamante,No data,potencia,mixta
PALA SIUX VIKING IV,59.95,siux,"negro, verde",medio,soft eva,fibra de vidrio,No data,principiante,No data,lisa,No data,hombre
VARLION AVANT DIFUSOR CARBON BLACK,107.95,varlion,"negro, gris, azul",medio,medium eva,fibra de vidrio,No data,avanzado,lágrima,rugosa,No data,mixta
HEAD ZEPHYR PRO 2023,89.95,head,"negro, azul",medio,medium eva,No data,No data,principiante,redonda,lisa,polivalente,mixta
BULLPADEL VERTEX X SERIES GREY,89.95,bullpadel,"negro, plateado",alto,medium eva,No data,No data,avanzado,diamante,lisa,potencia,mixta
BLACK CROWN PITON 4.0,197.95,black crown,"negro, rojo",bajo,medium eva,fibra de vidrio,No data,avanzado,redonda,lisa,control,hombre
DUNLOP GRAVITY,79.95,dunlop,"negro, azul",alto,medium eva,No data,No data,avanzado,diamante,lisa,No data,mixta
STAR VIE RAPTOR 2021,113.95,No data,"negro, blanco, rojo",No data,soft eva,No data,No data,pro,redonda,rugosa,No data,mixta
BLACK CROWN PITON 6.0 CHROME,65.95,black crown,"negro, plateado",medio,soft eva,fibra de vidrio,No data,avanzado,redonda,lisa,No data,mixta
ADIDAS ADIPOWER 3.2 2023,161.5,adidas,"negro, blanco, amarillo",alto,medium eva,No data,media,avanzado,diamante,rugosa,potencia,hombre
VIBOR-A YARARA LIQUID EDITION 2023,187.95,vibor-a,"negro, blanco, gold, rojo",medio,soft eva,No data,No data,avanzado,lágrima,rugosa,polivalente,hombre
ADIDAS BEACH TENNIS BT METALBONE TEAM H14 BLANCO,99.95,adidas,No data,medio,No data,No data,No data,avanzado,No data,No data,No data,mixta
RS PRIME TEAM AMANDA GIRDO LIMITED EDITION,179.95,No data,No data,medio,soft eva,No data,blanda,pro,lágrima,lisa,polivalente,mujer
VARLION LW CARBON ALU,79.95,varlion,"blanco, gris, azul",medio,medium eva,No data,No data,avanzado,redonda,rugosa,No data,mixta
DUNLOP GALACTICA,111.95,dunlop,"negro, amarillo, plateado",No data,medium eva,No data,No data,avanzado,lágrima,rugosa,No data,hombre
VIBOR-A BLACK MAMBA ELITE 3K,184.95,vibor-a,negro,medio,medium eva,No data,media,principiante,No data,rugosa,polivalente,hombre
ENEBE COMBAT CARBON 21,95.95,enebe,"negro, amarillo",bajo,medium eva,No data,No data,avanzado,lágrima,lisa,No data,hombre
WILSON ACCENT LT PADEL 2 AZUL,138.95,wilson,No data,medio,soft eva,No data,blanda,principiante,lágrima,rugosa,polivalente,hombre
WINGPADEL AIR CYCLONE 4.0,80.95,wingpadel,"negro, naranja",alto,medium eva,fibra de vidrio,No data,principiante,diamante,lisa,No data,hombre
ROYAL PADEL CROSS PRO,187.95,royal padel,"negro, rojo",medio,No data,fibra de vidrio,No data,avanzado,lágrima,No data,No data,mixta
VARLION LW HEXAGON 8.8,70.95,varlion,"negro, rojo",bajo,soft eva,fibra de vidrio,No data,principiante,redonda,lisa,No data,mixta
DUNLOP ROCKET ULTRA NARANJA,39.95,dunlop,"negro, naranja",No data,soft eva,fibra de vidrio,No data,principiante,redonda,lisa,No data,mixta
VARLION MAXIMA PRISMA RADIO,177.95,varlion,morado,No data,medium eva,No data,No data,pro,No data,rugosa,No data,mixta
SOFTEE RANGER GREEN,84.0,softee,"negro, verde",No data,soft eva,fibra de vidrio,No data,principiante,No data,rugosa,No data,mixta
DROP SHOT NABUCCO LTD,197.95,drop shot,"negro, azul",medio,medium eva,No data,No data,avanzado,lágrima,lisa,No data,mixta
VARLION BOURNE ONE,39.95,varlion,"negro, verde",medio,medium eva,No data,media,principiante,lágrima,lisa,polivalente,hombre
BULLPADEL VERTEX 04 MX 24,73.95,varlion,"negro, azul",bajo,soft eva,fibra de vidrio,No data,avanzado,redonda,rugosa,No data,mixta
VARLION LW CARBON TI DIFUSOR BLACK,244.95,bullpadel,No data,alto,medium eva,No data,No data,avanzado,diamante,rugosa,potencia,hombre
VARLION CANON CTI DIFUSOR BLACK,73.95,varlion,"negro, amarillo",alto,medium eva,mix,No data,avanzado,diamante,rugosa,No data,mixta
BULLPADEL ELITE W MASTER FINAL 2022,169.95,bullpadel,"negro, beige, marrón",medio,medium eva,No data,media,avanzado,lágrima,lisa,polivalente,mujer
VIBOR-A KING COBRA 2019,129.95,vibor-a,"negro, rojo",alto,soft eva,No data,No data,avanzado,diamante,rugosa,No data,mixta
VIBOR-A BLACK MAMBA XTREME 3K 2024,147.95,vibor-a,"negro, amarillo",medio,medium eva,No data,media,avanzado,diamante,rugosa,polivalente,hombre
BABOLAT AIR VERTUO 2022,125.95,babolat,"negro, azul",medio,medium eva,fibra de vidrio,No data,avanzado,lágrima,rugosa,No data,mixta
VIBOR-A MORTAL CARBON 2022,139.95,vibor-a,No data,medio,soft eva,fibra de vidrio,No data,avanzado,lágrima,lisa,No data,mixta
DUNLOP INFERNO CARBON ELITE,79.95,dunlop,"negro, rojo",No data,medium eva,No data,No data,avanzado,No data,lisa,No data,mixta
AKKERON NEXUS 2022,109.95,No data,"gris, verde",bajo,soft eva,No data,No data,principiante,redonda,rugosa,No data,mixta
DROP SHOT PREMIUM 2.0 DP264018,125.95,drop shot,"negro, verde",alto,medium eva,No data,media,avanzado,lágrima,No data,polivalente,hombre
DUNLOP BLITZ EVOLUTION RED,39.95,dunlop,"negro, rojo",No data,soft eva,fibra de vidrio,No data,principiante,redonda,rugosa,No data,mixta
VIBORA BLACK MAMBA ANIVERSARIO,169.95,vibor-a,"negro, amarillo",medio,soft eva,No data,No data,avanzado,lágrima,lisa,No data,mixta
SIDE SPIN SS2 FIBER GLASS,53.95,No data,"negro, azul",bajo,soft eva,fibra de vidrio,No data,principiante,redonda,lisa,No data,mixta
BULLPADEL HACK 03 SPO,193.95,bullpadel,"negro, gold",alto,medium eva,No data,No data,pro,diamante,rugosa,No data,hombre
STARVIE TRITON SPEED 2.0 2023,284.95,No data,"negro, amarillo",medio,soft eva,No data,blanda,avanzado,lágrima,rugosa,polivalente,hombre
AKKERON NEXUS CARBON LEGACY R 20,94.95,No data,"negro, verde",No data,soft eva,No data,No data,avanzado,redonda,lisa,No data,mixta
PICKLEBALL ADIDAS PB ADIPOWER CTRL 3.2 ROJO NEGRO PB1CA0U17,229.95,adidas,"negro, rojo",medio,hard eva,No data,dura,avanzado,redonda,No data,potencia,mixta
RS PRIME TEAM VSQZ LIMITED EDITION 95017,179.95,No data,No data,medio,soft eva,No data,media,avanzado,lágrima,lisa,polivalente,hombre
VARLION BOURNE HEXAGON 8.8 2023,134.95,bullpadel,No data,medio,medium eva,No data,dura,avanzado,diamante,lisa,polivalente,hombre
BULLPADEL VERTEX 02 X HYBRID,77.95,varlion,"negro, naranja",medio,foam,No data,No data,avanzado,diamante,lisa,polivalente,hombre
STARVIE TRITON PRO 2024,215.95,No data,"negro, plateado",alto,medium eva,No data,media,avanzado,lágrima,rugosa,potencia,hombre
MYSTICA LEGACY CARBON HYBRID BLUE 2024,83.95,No data,azul,medio,medium eva,No data,dura,avanzado,No data,No data,polivalente,mixta
NOX MP10 GEMELAS ATOMIKAS BY MAPI SÁNCHEZ ALAYETO 2022,104.95,nox,"negro, azul",bajo,medium eva,fibra de vidrio,No data,pro,redonda,rugosa,No data,mujer
WILSON ULTRA TEAM V2 PADEL 2,52.95,wilson,"negro, azul",alto,medium eva,fibra de vidrio,No data,avanzado,diamante,lisa,No data,mixta
VARLION LW DIFUSOR BLACK,99.95,wilson,"negro, azul",medio,soft eva,fibra de vidrio,No data,avanzado,redonda,rugosa,polivalente,mixta
WILSON PRO STAFF V2 PADEL ALT 2,125.95,varlion,"negro, plateado",No data,soft eva,No data,No data,avanzado,lágrima,lisa,No data,mixta
DUNLOP TITAN LT HL ORANGE,225.95,dunlop,"negro, naranja",alto,medium eva,fibra de vidrio,No data,avanzado,redonda,lisa,No data,mixta
VIDAR OF BASTAD CC ELITE X,178.95,No data,"negro, gris",No data,medium eva,No data,No data,avanzado,lágrima,rugosa,No data,mixta
DROP SHOT SPEKTRO 7.0 BT,179.95,drop shot,"negro, rosa",No data,hard eva,No data,No data,avanzado,No data,lisa,control,mixta
SOFTEE POTENZA EVOLUTION ROJO NEGRO,165.95,softee,"negro, plateado",No data,soft eva,No data,No data,avanzado,diamante,lisa,No data,mixta
SOFTEE HELIX NEGRO AMARILLO,178.0,softee,"negro, amarillo",alto,soft eva,No data,No data,avanzado,diamante,lisa,No data,mixta
SOFTEE WINNER PRO LIMA,83.95,bullpadel,"negro, blanco, rojo",alto,medium eva,No data,No data,avanzado,diamante,rugosa,No data,mixta
BULLPADEL VERTEX CARBON L.E. ROJO,189.95,softee,"negro, lima",No data,soft eva,No data,No data,avanzado,lágrima,lisa,No data,mixta
JOMA OPEN NEGRO TURQUESA,71.95,joma,"negro, azul, verde",medio,soft eva,fibra de vidrio,blanda,principiante,lágrima,lisa,polivalente,hombre
VIBOR-A REAL,64.95,vibor-a,"negro, verde",alto,soft eva,fibra de vidrio,No data,principiante,redonda,rugosa,potencia,hombre
SOFTEE RUNA 3K HYBRID FUCSIA,152.95,softee,"negro, fucsia",No data,soft eva,No data,No data,avanzado,No data,lisa,No data,mixta
NOX ULTIMATE POWER FIBER BLACK LTD,215.95,nox,"negro, gris",alto,medium eva,fibra de vidrio,No data,avanzado,diamante,rugosa,potencia,mixta
PALA BEACH TENNIS ADIDAS METALBONE CARBON H34 NEGRO,189.95,No data,negro,medio,soft eva,No data,blanda,avanzado,lágrima,rugosa,control,hombre
PALA BEACH TENNIS ADIDAS BT METALBONE CARBON,259.95,adidas,negro,alto,soft eva,No data,dura,avanzado,lágrima,rugosa,potencia,hombre
PICKLEBALL ADIDAS PB ADIPOWER CTRL TEAM PB2CA0U29,184.95,adidas,amarillo,medio,No data,fibra de vidrio,No data,avanzado,No data,No data,control,mixta
PICKLEBALL HEAD RADICAL TOUR CO 226012,144.95,head,negro,No data,No data,fibra de vidrio,No data,avanzado,No data,No data,potencia,hombre
BULLPADEL VERTEX 04 CMF BR 2024,181.95,bullpadel,No data,alto,medium eva,No data,media,avanzado,diamante,rugosa,potencia,hombre
VIBOR-A KING COBRA LIQUID EDITION 2023,205.95,vibor-a,"negro, rojo",medio,soft eva,No data,No data,avanzado,lágrima,rugosa,polivalente,mixta
ORYGEN STRATUS XTREME,59.95,orygen,"negro, amarillo",alto,soft eva,No data,No data,avanzado,lágrima,lisa,No data,mixta
DUNLOP RAPID CONTROL 3,110.95,No data,"negro, rosa",bajo,soft eva,fibra de vidrio,No data,principiante,redonda,lisa,control,mixta
STARVIE VESTA 2.0 2023,55.95,dunlop,"negro, amarillo, azul",medio,soft eva,fibra de vidrio,No data,principiante,redonda,lisa,No data,mixta
PICKLEBALL HEAD EXTREME PRO 2023,109.95,head,verde,No data,No data,No data,No data,pro,diamante,No data,potencia,mixta
WILSON PRO STAFF LT V2,199.95,wilson,"negro, azul",bajo,soft eva,No data,No data,avanzado,redonda,rugosa,No data,mixta
VIBOR-A DIVA ELITE 3K 2024,184.95,vibor-a,negro,medio,medium eva,No data,media,avanzado,redonda,rugosa,control,hombre
NOX AT10 GENIUS 18K BY AGUSTÍN TAPIA 23,179.95,nox,"negro, gris",medio,medium eva,No data,No data,avanzado,lágrima,rugosa,polivalente,mixta
PRINCE ROCKET BLACK TATTOO,149.95,prince,"negro, blanco, rojo",medio,medium eva,No data,No data,principiante,redonda,lisa,polivalente,hombre
VARLION LW ONE PALM 2023,61.95,varlion,"blanco, gold",bajo,soft eva,fibra de vidrio,No data,principiante,redonda,lisa,control,mixta
BULLPADEL SKY AZUL,49.95,bullpadel,"negro, azul",bajo,soft eva,fibra de vidrio,No data,principiante,redonda,lisa,No data,mixta
SIUX PEGASUS GV EDITION,148.95,siux,negro,medio,medium eva,No data,media,avanzado,No data,lisa,polivalente,hombre
ROYAL PADEL RP 779 WHIP POLY 2024,220.95,bullpadel,"negro, gold",medio,soft eva,No data,No data,principiante,lágrima,rugosa,No data,mixta
BULLPADEL GOLD 3.0,44.95,royal padel,No data,medio,No data,fibra de vidrio,No data,avanzado,redonda,rugosa,polivalente,hombre
PICKLEBALL HEAD GRAVITY TOUR 2023,170.95,head,negro,No data,foam,No data,No data,avanzado,No data,rugosa,potencia,hombre
PICKLEBALL HEAD EXTREME TOUR 2023,154.95,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,mixta
DROP SHOT CONCEPT PRO,109.95,drop shot,No data,medio,soft eva,No data,No data,principiante,lágrima,rugosa,No data,mixta
BULLPADEL VERTEX 04 W MFINAL 23,202.95,bullpadel,No data,alto,medium eva,No data,media,avanzado,diamante,rugosa,potencia,mujer
WINGPADEL AIR CYCLONE 2.0 454076,64.95,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,mixta
DUNLOP ROCKET RED NH 623966,49.95,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,mixta
ENEBE COMBAT ULTRASOFT 2021,71.95,enebe,No data,bajo,soft eva,No data,No data,avanzado,redonda,lisa,No data,mixta
DUNLOP RAPID POWER 3,39.95,dunlop,"negro, naranja",medio,soft eva,fibra de vidrio,No data,principiante,No data,lisa,No data,mixta
ENEBE RESPONSE 22,173.95,enebe,"negro, gold, rojo",No data,soft eva,No data,No data,avanzado,No data,lisa,No data,mixta
VARLION BOURNE CARBON TI,65.95,varlion,"negro, naranja, azul",No data,soft eva,mix,No data,avanzado,diamante,rugosa,No data,mixta
DUNLOP BLITZ EVOLUTION,49.95,dunlop,"negro, lima",No data,soft eva,fibra de vidrio,No data,principiante,redonda,lisa,No data,mixta
BLACK CROWN PITON AIR PLUS 2022,115.95,bullpadel,"negro, rosa",No data,soft eva,fibra de vidrio,No data,principiante,diamante,lisa,No data,mixta
BULLPADEL SKY POWER CORAL,119.95,black crown,"negro, rojo",medio,soft eva,fibra de vidrio,No data,avanzado,redonda,rugosa,No data,mixta
VIDAR OF BASTAD CC ELITE X,178.95,No data,"negro, gris",No data,medium eva,No data,No data,avanzado,lágrima,rugosa,No data,mixta
WILSON CARBON FORCE PRO PADEL CARBON NEGRO VERDE,224.95,wilson,"negro, verde",No data,foam,No data,No data,avanzado,lágrima,rugosa,No data,mixta
